"genus","order","n_OTUs","total_reads","plants_present","plants_present_forest","plants_present_subparamo","plants_present_paramo","absent_from","NV_paramo_vs_forest","DOM_paramo_vs_forest","converged","note","omnibus_chisq","omnibus_df","omnibus_p","subparamo_vs_forest_ratio","subparamo_vs_forest_lcl","subparamo_vs_forest_ucl","subparamo_vs_forest_p","subparamo_vs_forest_status","paramo_vs_forest_ratio","paramo_vs_forest_lcl","paramo_vs_forest_ucl","paramo_vs_forest_p","paramo_vs_forest_status","paramo_vs_subparamo_ratio","paramo_vs_subparamo_lcl","paramo_vs_subparamo_ucl","paramo_vs_subparamo_p","paramo_vs_subparamo_status","omnibus_q","subparamo_vs_forest_q","paramo_vs_forest_q","paramo_vs_subparamo_q","published_fig4C"
"Teratosphaeria","Mycosphaerellales",20,109824,20,11,6,3,"","higher in forest","forest only",TRUE,"",2.04481898246667,2,0.359727135729394,3.97331927138739,NA,NA,NA,"estimated",0.0764299489308336,NA,NA,NA,"estimated",0.0192357934790742,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Pezoloma","Helotiales",2,87587,11,5,5,1,"","forest only","higher in paramo",TRUE,"",2.32953677810235,2,0.311994915103338,0.13259013177674,NA,NA,NA,"estimated",0.00202718648367966,NA,NA,NA,"estimated",0.0152891203629929,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,TRUE
"Acephala","Helotiales",1,74622,10,0,5,5,"forest","absent","paramo only",TRUE,"",15.0203417313279,2,0.000547487533900723,NA,NA,NA,NA,"not estimable: absent from forest",NA,NA,NA,NA,"not estimable: absent from forest",2.00172802816786,NA,NA,NA,"estimated",0.028656544152811,NA,NA,NA,TRUE
"Tetracladium","Helotiales",9,17225,10,7,3,0,"paramo","forest only","forest only",TRUE,"",6.19537548498442,2,0.0451534882714502,3.39930022078673,2.22634445531467e-06,5190230.99208943,0.866249159600988,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.217888164831917,0.930212349675321,NA,NA,FALSE
"Knufia","Chaetothyriales",8,10926,15,9,4,2,"","forest only","higher in forest",TRUE,"",2.80292424704533,2,0.246236672179726,0.0564369394077265,NA,NA,NA,"estimated",0.00543937305787691,NA,NA,NA,"estimated",0.0963796604663547,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Pestalotiopsis","Amphisphaeriales",7,8408,26,16,7,3,"","forest only","higher in paramo",TRUE,"",1.79537457813905,2,0.407511025971082,2.58851621977419,NA,NA,NA,"estimated",0.643668441337841,NA,NA,NA,"estimated",0.248663089850753,NA,NA,NA,"estimated",0.546661132400232,NA,NA,NA,FALSE
"Apiotrichum","Trichosporonales",3,6637,11,8,2,1,"","absent","forest only",TRUE,"",2.39685824094354,2,0.301667723551214,0.054003605421886,NA,NA,NA,"estimated",0.0433525729384973,NA,NA,NA,"estimated",0.802771826062707,NA,NA,NA,"estimated",0.532050447510957,NA,NA,NA,FALSE
"Conlarium","Atractosporales",12,3950,12,9,0,3,"subparamo","higher in forest","forest only",TRUE,"",13.7331188987521,2,0.00104205615101131,NA,NA,NA,NA,"not estimable: absent from subparamo",0.0431085403059943,NA,NA,NA,"estimated",NA,NA,NA,NA,"not estimable: absent from subparamo",0.028656544152811,NA,NA,NA,FALSE
"Clavulinopsis","Agaricales",10,2094,10,2,6,2,"","paramo only","forest only",TRUE,"Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting') | Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",NA,2,NA,19.6614740295751,NA,NA,NA,"estimated",3.0074480361981,NA,NA,NA,"estimated",0.152961473370422,NA,NA,NA,"estimated",NA,NA,NA,NA,FALSE
"Cyphellophora","Chaetothyriales",8,1897,11,10,1,0,"paramo","forest only","forest only",TRUE,"",8.16058033032752,2,0.0169025604068655,0.0914327733786134,0.000215629613991993,38.7699624969661,0.438345749925028,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.116205102797201,0.761939614421966,NA,NA,FALSE
"Pochonia","Hypocreales",6,1043,10,7,3,0,"paramo","forest only","forest only",TRUE,"Model convergence problem; singular convergence (7). See vignette('troubleshooting'), help('diagnose')",6.09239977725593,2,0.0475392359633273,0.0722254509148484,NA,NA,NA,"estimated",NA,NA,NA,NA,"not estimable: absent from paramo",NA,NA,NA,NA,"not estimable: absent from paramo",0.217888164831917,NA,NA,NA,FALSE
